Format Version,1.24,Take Name,Take 2025-12-08 03.08.47 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-12-08 03.08.47.599 PM,Capture Start Frame,498529,Total Frames in Take,7393,Total Exported Frames,7393,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
17,0.141667,-0.016700,-0.231284,0.069946,-0.970225,2030.259155,1326.874268,1381.749512,2064.012939,1344.411377,1383.291626,2083.287598,1348.079346,1309.245117,1993.766602,1357.603882,1410.208740,1960.140869,1302.155640,1399.436279,2050.144287,1282.338013,1406.347534,2063.869385,1345.113525,1383.334351,2083.128906,1348.031494,1309.394775,1993.536987,1357.468628,1409.893677,1960.343384,1302.689575,1399.531982,2050.829834,1280.046509,1406.495972,-4687.465820,1030.408203,-2073.832031,-4303.311523,1030.614746,-2419.984375,,,,,,,,,,,,,,,,,,,,,
18,0.150000,-0.015047,-0.229941,0.069819,-0.970580,2029.297363,1327.428345,1382.839233,2063.029297,1345.004883,1384.408325,2082.488525,1348.444702,1310.399170,1992.701416,1358.215820,1411.102417,1959.159302,1302.697388,1400.430420,2049.164795,1282.995117,1407.636719,2062.808594,1345.652344,1384.472168,2082.403320,1348.310791,1310.598145,1992.474976,1358.025513,1410.886597,1959.416504,1303.229614,1400.543091,2049.723389,1281.431396,1407.658081,-4687.895508,1030.066772,-2074.075928,-4303.379395,1030.341919,-2420.128662,,,,,,,,,,,,,,,,,,,,,
19,0.158333,-0.015734,-0.229521,0.071012,-0.970582,2028.339111,1327.933472,1383.996460,2062.116211,1345.419556,1385.607788,2081.649414,1348.861572,1311.618286,1991.799927,1358.797241,1412.250000,1958.120483,1303.375366,1401.508301,2048.067383,1283.429688,1408.779053,2061.976318,1346.034058,1385.578979,2081.571533,1348.750244,1311.811401,1991.658325,1358.483276,1412.113892,1958.257080,1303.881226,1401.588867,2048.410889,1282.376343,1408.875732,-4687.905273,1030.113403,-2073.982666,-4303.534180,1030.185059,-2420.123047,,,,,,,,,,,,,,,,,,,,,
20,0.166667,-0.018688,-0.230121,0.072307,-0.970292,2026.942017,1328.508179,1385.020996,2060.788086,1345.854126,1386.692505,2080.267334,1349.607544,1312.703857,1990.548950,1359.365356,1413.469604,1956.644165,1304.131958,1402.469116,2046.519287,1283.798950,1409.552002,2060.661377,1346.541748,1386.567749,2080.149414,1349.511475,1312.921387,1990.427246,1359.123047,1413.230469,1956.782837,1304.601807,1402.539307,2046.948242,1282.429810,1409.639160,-4687.357422,1030.616333,-2073.549561,-4303.205566,1030.621216,-2419.814209,,,,,,,,,,,,,,,,,,,,,
21,0.175000,-0.019541,-0.229193,0.073297,-0.970421,2025.425415,1328.963379,1385.764282,2059.308838,1346.228638,1387.519897,2078.940674,1350.014771,1313.573364,1989.049072,1359.875366,1414.174805,1955.037231,1304.732788,1403.049927,2044.850586,1284.182739,1410.285889,2059.182861,1346.916260,1387.251587,2078.823486,1349.967529,1313.814819,1988.905029,1359.674072,1413.967163,1955.271729,1305.208862,1403.108887,2045.169800,1282.613892,1410.554810,-4687.187988,1030.791260,-2073.410645,-4303.114746,1030.879761,-2419.658203,,,,,,,,,,,,,,,,,,,,,
22,0.183333,-0.020595,-0.228261,0.074434,-0.970532,2023.808716,1329.625610,1386.317871,2057.734863,1346.796387,1388.164307,2077.522949,1350.631592,1314.261719,1987.460205,1360.596802,1414.699585,1953.321045,1305.562134,1403.431274,2043.064087,1284.758545,1410.815430,2057.632324,1347.466187,1387.932861,2077.364014,1350.575928,1314.556152,1987.290039,1360.543457,1414.465698,1953.548462,1305.972656,1403.501343,2043.620361,1282.473999,1411.061523,-4687.002441,1030.862061,-2073.389648,-4303.043457,1031.039307,-2419.617188,,,,,,,,,,,,,,,,,,,,,
23,0.191667,-0.020601,-0.226324,0.075027,-0.970940,2022.243286,1330.180664,1386.828369,2056.182129,1347.312866,1388.798218,2076.264404,1351.082886,1314.971802,1985.820190,1361.210327,1415.049927,1951.660889,1306.209473,1403.678833,2041.349854,1285.305054,1411.426514,2056.145264,1348.023560,1388.773804,2076.053223,1350.991455,1315.215210,1985.610107,1361.162354,1414.718994,1951.896484,1306.642456,1403.773804,2042.058960,1282.561523,1411.491089,-4687.354980,1030.461304,-2073.733643,-4303.208008,1030.760254,-2419.883545,,,,,,,,,,,,,,,,,,,,,
24,0.200000,-0.021577,-0.224746,0.076041,-0.971206,2020.772949,1330.677002,1387.468628,2054.746826,1347.724121,1389.570312,2075.080811,1351.532593,1315.814819,1984.332764,1361.762085,1415.607056,1950.077393,1306.858032,1404.058228,2039.689087,1285.725830,1412.075928,2054.856934,1348.325317,1389.601929,2074.788086,1351.449463,1316.120605,1983.954346,1361.690552,1415.113525,1950.329834,1307.386841,1404.227661,2040.551636,1283.000366,1411.967041,-4687.477539,1030.282104,-2073.926025,-4303.326660,1030.387573,-2420.089844,,,,,,,,,,,,,,,,,,,,,
25,0.208333,-0.021732,-0.223637,0.075623,-0.971491,2019.221802,1331.098999,1388.329346,2053.177979,1348.170532,1390.515503,2073.680664,1352.016724,1316.808594,1982.693359,1362.148438,1416.392700,1948.505493,1307.222778,1404.747192,2038.113892,1286.154297,1412.966797,2053.095215,1348.767090,1390.520264,2073.499023,1351.906128,1317.072144,1982.379639,1362.009888,1415.999146,1948.830078,1307.827515,1404.925415,2038.840576,1284.000122,1412.810669,-4687.858398,1030.091309,-2073.999756,-4303.484863,1030.235352,-2420.123047,,,,,,,,,,,,,,,,,,,,,
26,0.216667,-0.020906,-0.222647,0.075258,-0.971765,2017.677979,1331.581665,1389.155029,2051.611572,1348.693237,1391.379395,2072.252930,1352.443604,1317.706299,1981.061890,1362.636719,1417.097778,1946.955688,1307.655396,1405.474243,2036.570801,1286.696777,1413.901001,2051.313721,1349.309692,1391.376465,2072.084717,1352.361938,1317.891724,1980.921143,1362.416870,1416.815430,1947.122559,1308.248047,1405.545044,2037.204224,1285.124390,1414.037109,-4687.565430,1030.448975,-2073.664795,-4303.391602,1030.499268,-2419.865967,,,,,,,,,,,,,,,,,,,,,
