time,roll_rad,pitch_rad,yaw_rad,roll_deg,pitch_deg,yaw_deg
45.283333,-0.01414400816826955,1.0212683866038095,0.04650888904569861,-0.8103919734404076,58.514368302533185,2.6647630521607573
45.291667,-0.014132642841837573,1.0199125844038037,0.0505855711412595,-0.8097407882030667,58.436686558618305,2.8983397306529444
45.3,-0.017444659384266092,1.0153449076479673,0.04538225856241951,-0.9995053577617324,58.17497795832887,2.6002118803980805
45.308333,-0.024332130818728093,1.008656677827807,0.03514589533667234,-1.39412840247332,57.79177061722014,2.0137114699998464
45.316667,-0.028666628601889954,1.0062486336368663,0.031088469693768772,-1.6424768317573062,57.65379984819825,1.7812381049733175
45.325,-0.017886848227918417,1.0111447125632074,0.041400597251277205,-1.0248409122507809,57.93432450684053,2.372079491819101
45.333333,-0.013070385257845984,1.0114290538605837,0.04956356400411899,-0.7488779118845852,57.950616063121466,2.839783035062545
45.341667,-0.012001751244469006,1.0098786611343509,0.052086221220143614,-0.6876496930739575,57.86178510332055,2.9843206466989782
45.35,-0.017403961152964165,1.0052086187977247,0.04785454991400684,-0.9971735208744847,57.59421138728445,2.7418637405707287
45.358333,-0.02057368208743826,1.0009467931307867,0.044075255753583065,-1.1787851526541138,57.35002676354838,2.5253261356400083
45.366667,-0.019610191239572305,0.9997160546948596,0.044352915469723087,-1.1235811934719133,57.279510645485225,2.5412348655156323
45.375,-0.014993539112115872,1.0002093792877624,0.04993372126522466,-0.8590665110885671,57.307776062588566,2.860991483880022
45.383333,-0.013601148469905677,0.9976747487632598,0.0527796381628729,-0.7792884038564127,57.162552430909535,3.024050510960231
45.391667,-0.013833486715416843,0.9944982078857261,0.052115086973181235,-0.7926004047436768,56.98055004517607,2.9859745325205007
45.4,-0.01357485480844911,0.992290458302294,0.0465671758336379,-0.7777818880270057,56.85405531182364,2.6681026391110523
45.408333,-0.019775623409360232,0.9874295790592957,0.041114770098616304,-1.1330597585964532,56.575547446477096,2.3557028023013897
45.416667,-0.019772463864078382,0.9840935786192553,0.04185944790947982,-1.1328787299866228,56.384408700809,2.3983696979609106
45.425,-0.007237087655785235,0.9852307560696447,0.047625241099625626,-0.41465457864272065,56.449564169273756,2.728725313301536
45.433333,0.0021516458142003536,0.9883370996093528,0.05283683454173449,0.12328022416066996,56.62754454381676,3.0273276220724314
45.441667,-0.0014628854392286783,0.986196639114636,0.05164075128445056,-0.08381716157894495,56.504905191255,2.958797099483802
45.45,-0.007396440868673082,0.9814711077285141,0.047514869214682065,-0.423784845193044,56.23415218687361,2.7224014701173664
45.458333,-0.011383370181482722,0.9767698487279817,0.04353327877298696,-0.65221906803403,55.96478988774521,2.4942731420586077
