Format Version,1.24,Take Name,Take 2025-12-08 02.40.56 PM,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2025-12-08 02.40.56.675 PM,Capture Start Frame,298011,Total Frames in Take,7305,Total Exported Frames,7305,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
16,0.133333,0.033422,-0.180260,-0.000399,-0.983051,1988.029663,1325.398926,1959.402954,2018.296021,1348.252686,1962.704102,2044.472900,1350.265991,1890.741821,1944.409546,1351.541748,1981.758423,1921.131836,1290.790649,1972.339722,2011.882812,1286.352417,1989.241699,2018.436157,1348.010498,1962.410400,2044.473633,1350.189453,1890.668945,1944.840088,1350.887329,1982.171021,1920.892700,1290.706055,1972.071777,2011.338989,1287.208008,1989.361694,-4687.819336,1030.498657,-2073.912842,-4303.768066,1030.636108,-2420.072021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.141667,0.031036,-0.181028,0.002310,-0.982985,1987.819946,1324.745361,1958.829346,2018.232544,1347.397583,1962.173950,2044.325073,1349.515015,1890.183960,1944.393677,1351.076538,1981.341187,1920.724854,1290.507080,1971.729126,2011.468872,1285.440430,1988.490723,2018.220947,1347.291626,1961.757324,2044.394287,1349.593140,1889.977051,1944.518433,1350.694702,1981.327637,1920.906982,1290.602905,1971.617676,2010.879761,1285.291992,1988.753540,-4686.920898,1031.051147,-2073.558594,-4302.832520,1031.204956,-2419.792725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.150000,0.029733,-0.180864,0.003723,-0.983052,1987.650513,1324.403687,1958.189453,2018.135010,1346.950317,1961.593872,2044.265991,1349.130859,1889.619873,1944.299805,1350.828857,1980.736328,1920.439209,1290.356445,1970.989624,2011.158936,1284.961426,1987.780273,2018.102417,1347.150635,1961.576050,2044.181641,1349.135498,1889.417358,1944.137939,1350.659424,1980.402222,1920.476318,1290.682983,1970.882080,2011.458374,1284.071777,1988.122803,-4685.998535,1031.122070,-2073.362305,-4302.145020,1031.206787,-2419.514648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.158333,0.033481,-0.178377,0.001121,-0.983392,1987.798584,1325.006348,1958.446045,2018.116455,1347.776123,1961.851562,2044.581421,1349.668701,1889.991455,1944.165405,1351.287354,1980.613525,1920.752319,1290.596436,1971.141846,2011.423340,1285.911621,1988.402954,2018.457886,1347.465820,1962.101562,2044.414551,1349.790527,1890.020386,1943.882446,1351.172119,1980.369629,1920.526001,1290.897705,1971.067383,2011.937134,1286.256958,1988.548950,-4686.833984,1030.489624,-2073.506592,-4302.020020,1030.571655,-2419.709473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.166667,0.034970,-0.178492,-0.000614,-0.983320,1987.970337,1325.478760,1959.091431,2018.199707,1348.375610,1962.432861,2044.630493,1350.205933,1890.558594,1944.242065,1351.639160,1981.214355,1921.064697,1290.834839,1971.892090,2011.759766,1286.546753,1989.129883,2018.494385,1348.130249,1962.756958,2044.506592,1350.163086,1890.633057,1944.280396,1351.199341,1981.284302,1920.896484,1291.049194,1971.851807,2011.904663,1287.454590,1988.958984,-4687.709961,1030.050659,-2073.613525,-4303.170898,1029.736816,-2419.852051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.175000,0.034445,-0.179064,-0.001143,-0.983234,1988.061890,1325.641602,1959.650757,2018.276733,1348.558960,1962.984009,2044.620239,1350.498047,1891.080444,1944.338867,1351.739502,1981.857666,1921.199829,1290.927734,1972.489014,2011.918823,1286.692505,1989.613525,2018.473145,1348.435181,1962.932007,2044.583984,1350.449585,1891.140625,1944.788696,1351.147827,1982.119263,1920.910889,1290.886475,1972.348999,2011.553955,1287.772461,1989.485474,-4688.312988,1029.953979,-2074.000000,-4304.002930,1029.911133,-2420.121826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.183333,0.033920,-0.179107,0.000245,-0.983245,1987.783691,1325.254517,1959.465820,2018.065186,1348.081665,1962.811768,2044.415283,1349.982422,1890.909668,1944.136841,1351.468140,1981.686279,1920.820190,1290.729248,1972.284668,2011.526367,1286.219849,1989.407959,2018.220215,1347.738525,1962.493286,2044.397583,1350.001953,1890.806396,1944.647461,1350.738159,1982.009766,1920.625854,1290.700073,1972.042358,2010.833984,1287.151855,1989.656738,-4687.671387,1030.568359,-2073.900391,-4303.531738,1030.771606,-2420.056641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.191667,0.031125,-0.179705,0.002486,-0.983225,1987.552002,1324.600464,1958.850220,2017.961060,1347.246460,1962.271729,2044.247925,1349.341187,1890.351929,1944.071289,1350.946655,1981.238770,1920.414429,1290.380615,1971.576660,2011.111938,1285.296753,1988.584229,2017.974609,1347.227173,1961.897461,2044.271729,1349.499634,1890.197632,1944.103149,1350.706421,1981.064941,1920.696777,1290.494507,1971.604736,2010.518799,1284.852661,1988.861572,-4686.769531,1031.032715,-2073.536377,-4302.726074,1031.301025,-2419.774902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.200000,0.030409,-0.179209,0.003611,-0.983334,1987.428345,1324.341309,1958.255737,2017.888550,1346.909546,1961.733032,2044.258789,1349.012451,1889.843994,1943.987549,1350.770996,1980.623535,1920.193726,1290.272339,1970.874756,2010.859985,1284.950439,1987.975708,2017.956055,1347.104614,1961.826538,2044.119629,1349.102295,1889.778076,1943.812744,1350.742676,1980.291260,1920.197632,1290.518555,1970.929810,2011.271484,1284.061890,1988.368896,-4686.117676,1030.970093,-2073.412598,-4302.125977,1031.050293,-2419.640869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.208333,0.034288,-0.177221,0.000175,-0.983574,1987.573975,1325.040771,1958.683594,2017.833496,1347.882324,1962.129883,2044.457397,1349.744873,1890.327637,1943.832153,1351.251953,1980.719238,1920.575684,1290.497559,1971.269775,2011.217407,1286.035767,1988.742676,2018.200684,1347.500000,1962.495117,2044.256226,1349.887817,1890.451660,1943.575684,1351.192749,1980.580811,1920.411499,1290.739380,1971.299316,2011.727295,1286.502930,1988.854980,-4686.992676,1030.433594,-2073.521973,-4302.096191,1030.445190,-2419.729248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
